datetime,posts,following,followers
2024-11-16T19:41:24.230166,10309,1499,32705
2024-11-16T19:42:33.458720,10309,1499,32705
2024-11-16T19:43:42.630715,10309,1499,32706
2024-11-16T19:44:51.778850,10309,1499,32706
2024-11-16T19:46:01.504996,10309,1499,32708
2024-11-16T19:47:10.693707,10309,1499,32709
2024-11-16T19:48:20.559737,10309,1499,32712
2024-11-16T19:49:29.630130,10309,1499,32715
2024-11-16T19:50:39.247320,10309,1499,32719
2024-11-16T19:51:49.466925,10309,1499,32722
2024-11-16T19:53:00.390335,10309,1499,32723
2024-11-16T19:54:19.777776,10309,1499,32723
2024-11-16T19:55:29.074298,10309,1499,32724
2024-11-16T19:56:38.647651,10309,1499,32724
2024-11-16T19:57:48.373446,10309,1499,32725
2024-11-16T19:58:58.183164,10309,1499,32725
2024-11-16T20:00:07.221847,10309,1499,32729
2024-11-16T20:01:16.438916,10309,1499,32731
2024-11-16T20:02:25.600339,10309,1499,32733
2024-11-16T20:03:34.818005,10309,1499,32735
2024-11-16T20:04:44.265967,10309,1499,32737
2024-11-16T20:05:54.251860,10309,1499,32737
2024-11-16T20:07:03.964754,10309,1499,32738
2024-11-16T20:08:13.957499,10309,1499,32738
2024-11-16T20:09:25.818124,10309,1499,32739
2024-11-16T20:10:34.867860,10309,1499,32739
2024-11-16T20:11:44.505283,10309,1499,32739
2024-11-16T20:12:53.669234,10309,1499,32743
2024-11-16T20:14:03.060638,10309,1499,32744
2024-11-16T20:15:15.685748,10310,1499,32748
2024-11-16T20:16:36.076395,10310,1500,32749
2024-11-16T20:17:45.263213,10310,1500,32750
2024-11-16T20:19:04.690613,10310,1500,32752
2024-11-16T20:20:14.378244,10310,1500,32757
2024-11-16T20:21:25.331707,10310,1500,32758
2024-11-16T20:22:34.538488,10310,1500,32760
2024-11-16T20:23:43.655184,10310,1500,32760
2024-11-16T20:24:52.791187,10310,1500,32762
2024-11-16T20:26:01.855561,10310,1500,32767
2024-11-16T20:27:11.194396,10310,1500,32770
2024-11-16T20:28:20.233919,10310,1500,32771
2024-11-16T20:29:29.495900,10310,1500,32774
2024-11-16T20:30:39.172636,10310,1500,32777
2024-11-16T20:31:48.632644,10310,1500,32778
2024-11-16T20:32:58.183689,10310,1500,32778
2024-11-16T20:34:08.192315,10310,1500,32780
2024-11-16T20:35:23.533362,10310,1500,32780
2024-11-16T20:36:32.783558,10310,1501,32780
2024-11-16T20:37:42.372674,10310,1501,32782
2024-11-16T20:38:51.763854,10310,1501,32786
2024-11-16T20:40:01.750214,10310,1501,32787
2024-11-16T20:41:11.292594,10310,1501,32793
2024-11-16T20:42:20.443146,10310,1501,32796
2024-11-16T20:43:29.697671,10310,1501,32798
2024-11-16T20:44:39.976407,10310,1501,32799
2024-11-16T20:45:49.225328,10310,1501,32801
2024-11-16T20:46:58.727962,10310,1501,32803
2024-11-16T20:48:08.071755,10310,1501,32806
2024-11-16T20:49:17.929650,10310,1501,32809
2024-11-16T20:50:27.387631,10310,1501,32811
2024-11-16T20:51:37.277091,10310,1501,32813
2024-11-16T20:52:46.856829,10310,1501,32815
2024-11-16T20:53:56.480656,10310,1501,32814
2024-11-16T20:55:06.519141,10310,1501,32817
2024-11-16T20:56:15.960458,10310,1501,32820
2024-11-16T20:57:26.713649,10310,1501,32823
2024-11-16T20:58:36.126608,10310,1501,32825
2024-11-16T20:59:45.583778,10310,1501,32827
2024-11-16T21:00:55.386423,10310,1501,32827
2024-11-16T21:02:04.946683,10310,1501,32828
2024-11-16T21:03:14.928015,10310,1501,32829
2024-11-16T21:04:33.521602,10310,1501,32833
2024-11-16T21:05:45.287326,10310,1501,32834
2024-11-16T21:06:54.999985,10310,1501,32837
2024-11-16T21:08:04.570262,10310,1501,32838
2024-11-16T21:09:13.895640,10310,1501,32839
2024-11-16T21:10:23.415573,10310,1501,32845
2024-11-16T21:11:33.367254,10310,1501,32845
2024-11-16T21:12:43.393849,10310,1501,32848
2024-11-16T21:13:52.847772,10310,1501,32851
2024-11-16T21:15:02.905728,10310,1501,32856
2024-11-16T21:16:12.825534,10310,1501,32859
2024-11-16T21:17:22.067646,10310,1501,32862
2024-11-16T21:18:31.700747,10310,1501,32864
2024-11-16T21:19:41.667691,10310,1501,32866
2024-11-16T21:20:51.168281,10310,1501,32866
2024-11-16T21:22:00.544705,10310,1501,32867
2024-11-16T21:23:09.719718,10310,1501,32867
2024-11-16T21:24:19.501299,10310,1501,32868
2024-11-16T21:25:28.748784,10310,1501,32869
2024-11-16T21:26:38.037686,10310,1501,32869
2024-11-16T21:27:47.413530,10310,1501,32868
2024-11-16T21:28:56.961168,10310,1501,32870
2024-11-16T21:30:07.682080,10310,1501,32871
2024-11-16T21:31:17.009184,10310,1501,32877
2024-11-16T21:32:27.277290,10310,1501,32878
2024-11-16T21:33:56.913119,10310,1501,32880
